A- 	<i>prefix</i> (1)adding <i>intensity</i> to the notion of the verb.--AS. <i>á</i> for <i>ar</i>-, OHG <i>ar</i>-, Goth. <i>us</i>-. For the quantity ofthe <i>á</i> see Sievers, 121. Cf. <b>Or</b>.
A- 	<i>prefix</i> (2), standing for <b>A</b>, <i>prep</i>., and for Icel. <i>á</i>; see<b>On-</b> (1).
A- 	<i>prefix</i> (3), standing for <b>Of</b>, <i>prep</i>.; see <b>Of</b>.
A- 	<i>prefix</i> (4), standing for AS. <i>and</i>-, against, in return,toward.--AS. <i>and</i>-, <i>ond</i>-, <i>on</i>-(proclitic). Cf. <b>On-</b> (2.)
A- 	<i>prefix</i> (5), standing for <b>At</b>, <i>prep</i>., and Icel. <i>at</i>, usedwith the infin. See <b>At-</b> (1).
A- 	<i>prefix</i> (6), standing for AS. <i>ge</i>-; see <b>ȝe-</b>.
A- 	<i>prefix</i> (7), standing for OF. <i>a</i>-and Lat. <i>ad</i>-.
A- 	<i>prefix</i> (8), standing for OF. <i>a</i>- and Lat. <i>ab</i>-.
A- 	<i>prefix</i> (9), standing for AF. <i>a</i>, OF. <i>e</i>-, <i>es</i>- fromLat. <i>ex</i>-, <i>e</i>-.
A- 	<i>prefix</i> (10), standing for AF. <i>an</i>-, OF.  <i>en</i>- fromLat. <i>in</i>-. See <b>In-</b>.
A- 	<i>prefix</i> (11), standing for Gr. [Greek: a]- privative.
A 	<i>interj</i>. O! Ah! expressing surprise, pain, S, MD.
A 	<i>prep</i>, on, in, PP, S, S2,C2; see <b>On</b>.
A 	<i>prep</i>, of, S2, S3, PP; see <b>Of</b>. [Addition]
A 	<i>adv</i>. ever, S; <b>aa</b>, S; <b>a buten</b>, ever without, S; see<b>O</b>. [Addition]
A-bac 	<i>adv</i>. backwards, S, W2; <b>abec</b>, S; <b>abak</b>, C2, W; <b>obak</b>,S2.--AS. <i>on-bæc</i>. (<b>A-</b> 2.)
Abasshen 	<i>v</i>. to abash, S3; <b>abasshed</b>, <i>pp</i>. abashed, ashamed,alarmed, C3, PP; <b>abashed</b>, S2; <b>abasshid</b>, S3; <b>abasched</b>, PP;<b>abaisshed</b>, PP; <b>abaischid</b>, W; <b>abaischt</b>, S2; <b>abaissed</b>, PP;<b>abaist</b>, S3; <b>abayste</b>, S2, C2.--OF. <i>esbahiss</i>- stem of pr. p. of<i>esbahir</i>, to astonish; Lat. <i>ex</i> + *<i>badire</i> for <i>badare</i>, to openthe mouth. (<b>A-</b> 9.)
Abate 	<i>v</i>. to beat down, bring down, calm down, P,NED.--AF. <i>abatre</i> (pr. p. <i>abatant</i>); Late Lat. *<i>adbatere</i>. (<b>A-</b>7.)
Abaue 	<i>v</i>. to put to confusion, to be confounded, NED, HD, JD;<b>abawed</b>, <i>pp</i>. HD; <b>abaued</b>, HD.--OF. *<i>abavir</i>: <i>esbahir</i> (with <i>v</i>in place of lost <i>h</i>, see Brachet, s.v. <i>glaive</i>). (<b>A-</b>9). See<b>Abasshen</b>.
Abaye 	<i>sb</i>. barking; <i>phr</i>. <b>at þe abaie, at abaye</b>, at bay,S2.--OF. <i>abai</i>, barking, from <i>abaier</i>; cp. F. <i>aboi</i> in phr.: <i>êtreaux abois</i>.
Abbay 	<i>sb</i>. abbey, C2; <b>abbeis</b>, pl., S2.--AF. <i>abbeie</i> (<i>abeie</i>);Church Lat. <i>abbādia, abbātia</i>, from <i>abbātem</i>. See <b>Abbod</b>.
Abbesse 	<i>sb</i>. abbess, PP.--OF. <i>abbesse</i>; Church Lat. <i>abbatissa</i>.
Abbod 	<i>sb</i>. abbot, MD, S2; <b>abbot</b>, S, PP; <b>abbodes</b>,<i>pl</i>. S2.--Church Lat. <i>abbātem</i> (pronounced <i>abbādem</i>),nom. <i>abbas</i>; Gr. [Greek: abbas]; Syriac, <i>abba</i>, father.
Abbodesse 	<i>sb</i>. abbess, PP.
Abbot-rice 	<i>sb</i>. abbacy, S.--AS. <i>abbod-ríce</i>, the rule of anabbot.
A-B-C 	the alphabet, P; <b>abcy</b>, Cath.; <b>abce</b>, Cath. (<i>n</i>.), PP;<b>abcee</b>, Cotg.; <b>abece</b>, Cath. (<i>n</i>.); <b>apece</b>,Prompt.--Cp. OF. <i>abece</i>, the crosse rowe (Cotg.).
AbeahAbeh 	.; see <b>Abuȝen</b>.
AbeggenAbeien 	; see <b>Abyen</b>.
A-bernen 	<i>v</i>. to burn; <b>abernð</b>, <i>pr. s</i>.S.--AS. <i>á-beornan</i>. (<b>A-</b> 1.)
Abhominacioun 	<i>sb</i>. abomination, NED, C2.
Abhomynable 	<i>adj</i>. abominable, S3, C3.--AF. <i>abhominable</i>;Lat. <i>abominabilem</i>.
A-biden 	<i>v</i>. to abide, remain, await, endure, S, S2, W2; <b>habide</b>,S2; <b>abyde</b>, C2; <b>abid</b>, <i>imp</i>., S, S2; <b>abid</b>, <i>pr. s</i>., S; <b>abit</b>,S, S2, C3; <b>abod</b>, <i>pt. s</i>., S; <b>abood</b>, W2; <b>abide</b>, <i>pt. pl</i>., S2;<b>abididen</b>, W2; <b>abide</b>, <i>pp</i>., G.--AS. <i>á-bídan</i>. (<b>A-</b> 1.)
A-biding 	<i>sb</i>. expectation, W2.
Abiggen 	; see <b>Abven</b>.
Abil 	<i>adj</i>. able, CM; <b>able</b>, C; <b>hable</b>, S3, MD.--OF. <i>able</i>,<i>hable</i> (mod. F. <i>habile</i>); Lat. <i>habilem</i>.
Abilite 	<i>sb</i>. ability, NED; <b>habilitie</b>, S3.--OF. <i>habilité</i>.
Abilȝeit 	<i>pp</i>. apparelled, S3.--OF. <i>habiller</i>.
Abilȝement 	<i>sb</i>. clothing, S3.--OF. <i>habillement</i>.
Abit 	<i>sb</i>. dress, a monk's clothing, habit, PP, CM, HD; <b>abite</b>,W.--AF. <i>abit</i> (<i>habit</i>); Lat. <i>habitum</i> (acc.).
A-biten 	<i>v</i>. to bite, S.--AS. <i>á-bítan</i>.  (<b>A-I</b>).
Abject 	<i>pp</i>. and <i>adj</i>. cast out, NED.
Abjecte 	<i>v</i>. to cast aside, S3.
A-blawen 	<i>v</i>. to blow, MD; <b>ableow</b>, <i>pt. s</i>.,S.--AS. <i>á-bláwan</i>. (<b>A-I</b>.)
A-blenden 	<i>v</i>. to blind, MD; <b>ablent</b>, <i>pr. s</i>., S; <i>pl</i>., S;<b>ablende</b>, <i>pt. s</i>., MD; <b>a-blend</b>,<i>pp</i>. MD.--AS. <i>á-blendan</i>. (<b>A-I</b>.)
A-bouten 	<i>adv</i>. and <i>prep</i>. about, C2, P, MD; <b>abuten</b>, S;<b>abuuten</b>, S; <b>abuton</b>, S; <b>abute</b>, S; <b>aboute</b>, S, G; <b>oboute</b>, MD;<b>obout</b>, S2.--AS. <i>on-bútan</i> (=<i>on-be-útan</i>). (<b>A-2</b>.)
A-bouen 	<i>adv</i>. and <i>prep</i>, above, C2, PP, MD; <b>aboue</b>, PP;<b>abufen</b>, S; <b>abuuen</b>, MD; <b>abowen</b>, MD; <b>abone</b>, S3, JD; <b>oboven</b>,MD; <b>obowen</b>, MD; <b>oboune</b>, MD. <i>Phr</i>.: <b>at here aboue</b>, S2.--AS. <i>on</i>+ <i>bufan</i> (=<i>be</i> + <i>ufan</i>). (<b>A-2</b>.)
Abregge 	<i>v</i>. to abridge, shorten, C; <b>abreggide</b>, <i>pp</i>., W;<b>breggid</b>, W.--OF. <i>abreger</i>, <i>abregier</i>: Prov. <i>abrevjar</i>;Lat. <i>abbreviare</i>.  (<b>A-8</b>.)
A-breiden 	<i>v</i>. to start up, to draw (sword), to thrust out, toblame, S; <b>abreyden</b>, NED; <b>abraid</b>, <i>pt. s</i>.,S; <b>abreyde</b>, C2;<b>abrayde</b>, C; <b>abroden</b>, <i>pp</i>., S; <b>abruden</b>, S.--AS. <i>á</i> +<i>bregdan</i>. (<b>A-I</b>.)
A-brode 	<i>adv</i>. abroad, PP; <b>abrood</b>, C2; <b>abrod</b>, widely apart,PP. (<b>A-2</b>.)
Abusioun 	<i>sb</i>. deceit, S2, C3.--OF. <i>abusion</i> (Cotg.).
AbuteAbuton, Abuten 	; see <b>A-bouten</b>.
A-buȝen 	<i>v</i>. to bow, MD; <b>abuen</b>, MD; <b>abouwen</b>, MD; <b>abowe</b>, NED;<b>abeah</b>, <i>pt. s</i>., MD; <b>abeh</b>, S.--AS. <i>á-bugan</i>. (<b>A-I</b>.)
A-byenAbye 	, <i>v</i>. to buy, to pay for, S3, C2, C3, PP; <b>abygge</b>, PP;<b>abiggen</b>, PP; <b>abuggen</b>, S, PP; <b>abeggen</b>, MD, G; <b>abeien</b>, S;<b>abie</b>, PP; <b>abuiþ</b>, <i>pr. s</i>., S; <b>abugeð</b>, <i>pr. pl</i>., S; <b>abouhte</b>,<i>pt. s</i>., S; <b>aboughte</b>, G; <b>abought</b>, <i>pp</i>. 63.--AS. <i>á-*bycgan</i>. (<b>A-</b> 1.)
Abyme 	<i>sb</i>. abyss, S2, HD.--OF. <i>abime, abisme</i>; LowLat. *<i>abyssimum</i>, superl. of Lat. <i>abyssus</i>; Gr. [Greek:abussos],bottomless. (<b>A-</b> 11.)
Ac 	<i>conj</i>. but, S, S2, P; <b>acc</b>, S; <b>ah</b>, S, S2; <b>ak</b>, S2, PP;<b>hac</b>, S; <b>ach</b>, MD; <b>auh</b>, MD, S; <b>auch</b>, MD; <b>oc</b>, S; <b>occ</b>,S.--AS. <i>ac</i>.
Acc- 	; see <b>Ac-</b>.
Accident 	<i>sb</i>. accident (a term of the schoolmen),C3.--Lat. <i>accidentem</i>.
Accidie 	<i>sb</i>. sloth, indolence, S, CM, PP.--AF. <i>accidie</i> (NED);Low Lat. <i>accidia, acedia</i>; Gr. [Greek:akaedia], heedlessness,torpor. (<b>A-</b> 11.)
Accompt 	<i>sb</i>. account, S3; see <b>Acounte</b>. [Addition]
Accompted 	<i>pp</i>. accounted, S3; see <b>Acounte</b>. [Addition]
Ace 	<i>sb</i>. a jot, S3; see <b>As</b>. [Addition]
A-cennen 	<i>v</i>. to bring forth, to beget, MD; <b>acenned</b>, <i>pp</i>. MD;<b>accenned</b>, S; <b>akenned</b>, MD; <b>akennet</b>, S; <b>acende</b> (for <b>acend</b>),S.--AS. <i>á-cennan</i>. (<b>A-</b> I.)
A-cennende 	<i>sb</i>. begetting, birth, S.
A-cenneng 	<i>sb</i>. birth, S.
A-chape 	<i>v</i>. to escape, NED; <b>achaped</b>, <i>pt. s</i>.,S2.--OF. <i>achaper</i>; cf. AF. <i>ascaper</i>.  (<b>A-</b> 9.) Cf. <b>Eschapen,Ascapie</b>.
Achate 	<i>v</i>. to purchase, NED.--OF. <i>achater</i> (F. <i>acheter, acater</i>;Late Lat., <i>accaptare</i>.
Achate 	<i>sb</i>. purchase, provisions purchased, NED, C; <b>achat</b>, HD;<b>acate</b>, NED; <b>acates</b>, <i>pl</i>., HD.--OF. <i>achat</i>, AF. <i>acate</i>. Seeabove.
Achatour 	<i>sb</i>. a purchaser of provisions, purveyor, C, NED, HD;<b>acatour</b>, NED.--AF. <i>achatour, acatour</i>; Late Lat. <i>accaptatorem</i>.
Ache 	<i>sb</i>. pain, Prompt.; <b>eche</b>, MD; <b>hache</b>, HD.--AS. <i>æce(ece)</i>. See <b>Aken</b>.
Ache 	<i>sb</i>. wild celery, parsley, NED, Voc.--OF. <i>ache</i>;Lat. <i>apium</i>; Gr. [Greek:apion].
Achesoun 	<i>sb</i>. occasion, motive, HD, MD, NED.--OF. <i>achoison,ocoison</i>; Lat.  <i>occasionem</i>. Cf. <b>Anchesoun, Enchesoun, Chesoun</b>.
Achtande 	<i>ord</i>. eighth, S2, NED.--Icel. <i>áttandi</i>;cp. OHG. <i>ahtande</i>. Cf. <b>Eighte</b> (<i>ord</i>.).
A-colien 	<i>v</i>. to wax cold; <b>acolede</b>, <i>pt. s</i>., S; <b>acoled</b>, <i>pp</i>.,S.--AS. <i>á-cólian</i>. (<b>A-</b> 1.)
Acombren 	<i>v</i>. to encumber, PP; <b>acumbrid</b>, <i>pp</i>.,S2.--OF. <i>encombrer</i>. (<b>A-</b> 10.)
Acomplesshen 	<i>v</i>. to accomplish, NED; <b>accomplice</b>, C;<b>accompliced</b>, <i>pp</i>. NED.--AF. <i>acomplir</i> (<i>acomplice</i>, pr. s. subj.);Late Lat. <i>accomplere</i>; see Brachet. (A-7.)
Acord 	<i>sb</i>. accord, agreement, MD; <b>accord</b>, S2; <b>acorde</b>,S.--AF. <i>acord</i>.
Acordaunce 	<i>sb</i>. agreement, PP.
Acorden 	<i>v</i>. to reconcile, to agree, MD, S2, P; <b>accordyng</b>,<i>pr. p</i>., S3; <b>accorded</b>, <i>pp</i>., S2; <i>pt. s</i>., S3.--OF. <i>acorder</i>;Late Lat. <i>accordare</i>, from Lat. <i>ad + cord-</i>, stem of <i>cor</i>,heart. (A-7.)
Acorse 	; see <b>Acursien</b>.
Acounte 	<i>v</i>. to count, to calculate, NED, C2, PP; <b>acompte</b>, NED,PP; <b>accompted</b>, <i>pp</i>., S3.--AF. <i>acounter</i>, OF. <i>a-cunter, aconter</i>;Late Lat. <i>accomptare</i>; Lat. <i>ad + computare</i>. (A-7.)
Acounte 	<i>sb</i>. account, reckoning, PP; <b>acompte</b>, PP; <b>accompt</b>, S3;<b>accomptes</b>, <i>pl</i>., S3.--AF. <i>acounte, acunte</i>.
Acoupen 	<i>v</i>. to accuse, NED, HD; <b>acoupede</b>, <i>pt. s</i>., NED, PP;<b>acopede</b>, NED; <b>acoulped</b>, NED; <b>acouped</b>, <i>pp</i>., S2.--OF. <i>acouper,acolper</i>, for <i>encouper, encolper</i>; Lat. <i>inculpare</i>. (A-10.)
Acoyen 	<i>v</i>. to quiet, coax, tame, NED, Palsg.; <b>acoyed</b>, <i>pt. s</i>.,S2.--OF. <i>acoyer</i>, to calm; Lat. <i>ad + quietare</i>. (A-7.)
Acumbrid 	; see <b>Acombren</b>.
A-cursien 	<i>v</i>. to curse, NED; <b>acursi</b>, S, NED; <b>acorse</b>, PP;<b>acorsed</b>, <i>pp</i>. MD. (A-1.)
Acustumaunce 	<i>sb</i>. customary use, NED,C2.--OF. <i>acostumance</i>. (A-7.)
Acwenchen 	; see <b>Aquenchen</b>.
Adamant 	<i>sb</i>. adamant, very hard metal, a fabulous rock or mineral,the diamond, the loadstone or magnet, NED; precious stone, Prompt.;<b>ademaunt</b>, C; <b>adamounde</b>, Prompt, (<i>n</i>.); <b>admont</b>, NED; <b>athamant</b>,NED; <b>athamaunte</b>, C; <b>attemant</b>, NED; <b>aymont</b>, NED.--AF. <i>adamant</i>(<i>aimant</i>); Lat. <i>adamantem</i>; Gr. [Greek: adamas] ([Greek: -anta]),lit. invincible, untamable, from [Greek: a- + damao], I tame. (A-11.)
Adaunten 	<i>v</i>. to subdue, NED; <b>adauntede</b>, <i>pt. s</i>.,S2.--OF. <i>adanter</i>, <i>adonter</i>; Lat. <i>ad + domitare</i>, to tame. (A-7.)
A-dawe 	out of life, NED, HD.--AS. <i>of dagum</i>, from days. (A-3.)
